
"DU 730   ,Número de serie 1328753"
"Versión del instrumento:,1.05  "
Escan. longitud de onda
"Fecha:,08-DIC-2001 21:24:12"
"ID del usuario:,"
"ID de la muestra:,"
"Integral:,476.96"

"nm,Abs,Mín/Máx"
"455.0, 0.952"
"456.0, 0.947"
"457.0, 0.943"
"458.0, 0.945"
"459.0, 0.935"
"460.0, 0.933,Valle"
"461.0, 0.940,Pico"
"462.0, 0.934"
"463.0, 0.925"
"464.0, 0.917,Valle"
"465.0, 0.928,Pico"
"466.0, 0.923"
"467.0, 0.914"
"468.0, 0.910"
"469.0, 0.913,Pico"
"470.0, 0.911"
"471.0, 0.907,Valle"
"472.0, 0.906"
"473.0, 0.914,Pico"
"474.0, 0.910"
"475.0, 0.904"
"476.0, 0.903"
"477.0, 0.902"
"478.0, 0.898"
"479.0, 0.894"
"480.0, 0.892"
"481.0, 0.888"
"482.0, 0.886"
"483.0, 0.883"
"484.0, 0.878"
"485.0, 0.878"
"486.0, 0.872"
"487.0, 0.869"
"488.0, 0.867"
"489.0, 0.863"
"490.0, 0.861"
"491.0, 0.855"
"492.0, 0.853"
"493.0, 0.847"
"494.0, 0.845"
"495.0, 0.839"
"496.0, 0.836"
"497.0, 0.829"
"498.0, 0.826"
"499.0, 0.822"
"500.0, 0.816"
"501.0, 0.811"
"502.0, 0.808"
"503.0, 0.803"
"504.0, 0.798"
"505.0, 0.795"
"506.0, 0.791"
"507.0, 0.785"
"508.0, 0.783"
"509.0, 0.781"
"510.0, 0.780"
"511.0, 0.776"
"512.0, 0.774"
"513.0, 0.772"
"514.0, 0.772"
"515.0, 0.772"
"516.0, 0.771"
"517.0, 0.771,Valle"
"518.0, 0.771"
"519.0, 0.772"
"520.0, 0.772"
"521.0, 0.772"
"522.0, 0.772"
"523.0, 0.773"
"524.0, 0.773"
"525.0, 0.773,Pico"
"526.0, 0.773,Pico"
"527.0, 0.773"
"528.0, 0.773"
"529.0, 0.772"
"530.0, 0.773"
"531.0, 0.771"
"532.0, 0.768"
"533.0, 0.768"
"534.0, 0.768"
"535.0, 0.767"
"536.0, 0.764"
"537.0, 0.762"
"538.0, 0.760"
"539.0, 0.757"
"540.0, 0.754"
"541.0, 0.751"
"542.0, 0.747"
"543.0, 0.743"
"544.0, 0.740"
"545.0, 0.736"
"546.0, 0.731"
"547.0, 0.726"
"548.0, 0.722"
"549.0, 0.718"
"550.0, 0.713"
"551.0, 0.709"
"552.0, 0.704"
"553.0, 0.700"
"554.0, 0.697"
"555.0, 0.693"
"556.0, 0.688"
"557.0, 0.684"
"558.0, 0.681"
"559.0, 0.678"
"560.0, 0.674"
"561.0, 0.670"
"562.0, 0.666"
"563.0, 0.663"
"564.0, 0.660"
"565.0, 0.657"
"566.0, 0.653"
"567.0, 0.650"
"568.0, 0.648"
"569.0, 0.646"
"570.0, 0.643"
"571.0, 0.640"
"572.0, 0.638"
"573.0, 0.636"
"574.0, 0.633"
"575.0, 0.631"
"576.0, 0.629"
"577.0, 0.628"
"578.0, 0.625"
"579.0, 0.623"
"580.0, 0.621"
"581.0, 0.620"
"582.0, 0.618"
"583.0, 0.616"
"584.0, 0.614"
"585.0, 0.612"
"586.0, 0.611"
"587.0, 0.609"
"588.0, 0.607"
"589.0, 0.605"
"590.0, 0.603"
"591.0, 0.602"
"592.0, 0.600"
"593.0, 0.598"
"594.0, 0.597"
"595.0, 0.595"
"596.0, 0.594"
"597.0, 0.592"
"598.0, 0.591"
"599.0, 0.590"
"600.0, 0.589"
